"Tabela 1613 - Área destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras permanentes"
"Variável - Quantidade produzida (Toneladas)"
"Município";"Ano x Produto das lavouras permanentes"
"Município";"2024"
"Município";"Abacate";"Algodão arbóreo (em caroço)";"Açaí";"Azeitona";"Banana (cacho)";"Borracha (látex coagulado)";"Borracha (látex líquido)";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Caqui";"Castanha de caju";"Chá-da-índia (folha verde)";"Coco-da-baía*";"Dendê (cacho de coco)";"Erva-mate (folha verde)";"Figo";"Goiaba";"Guaraná (semente)";"Laranja";"Limão";"Maçã";"Mamão";"Manga";"Maracujá";"Marmelo";"Noz (fruto seco)";"Palmito";"Pera";"Pêssego";"Pimenta-do-reino";"Sisal ou agave (fibra)";"Tangerina";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"Conceição (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"40";"-";"-";"-";"-";"-";"-";"-";"-";"-";"21";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Condado (PB)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Conde (PB)";"-";"-";"-";"-";"660";"-";"...";"-";"-";"-";"-";"...";"-";"9";"-";"2800";"-";"-";"-";"-";"-";"-";"160";"-";"3000";"176";"225";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Congo (PB)";"-";"-";"-";"-";"112";"-";"...";"-";"-";"-";"-";"...";"-";"1";"-";"140";"-";"-";"-";"18";"-";"-";"-";"-";"80";"18";"72";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Coremas (PB)";"-";"-";"-";"-";"75";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"120";"-";"-";"-";"-";"-";"-";"-";"-";"-";"50";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Coxixola (PB)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Cruz do Espírito Santo (PB)";"-";"-";"-";"-";"45";"-";"...";"-";"-";"-";"-";"...";"-";"6";"-";"250";"-";"-";"-";"35";"-";"35";"84";"-";"60";"105";"180";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cubati (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"200";"-";"-";"-";"-"
"Cuité (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"30";"-";"-";"-";"-";"-";"21";"-";"-";"-";"-";"-";"-";"200";"-";"-";"-";"-";"-";"-";"100";"-";"-";"-";"-"
"Cuitegi (PB)";"-";"-";"-";"-";"210";"-";"...";"-";"-";"-";"-";"...";"-";"8";"-";"30";"-";"-";"-";"-";"-";"21";"-";"-";"-";"160";"27";"-";"-";"-";"-";"-";"-";"-";"-";"-";"7";"-"
"Cuité de Mamanguape (PB)";"-";"-";"-";"-";"160";"-";"...";"-";"-";"-";"-";"...";"-";"3";"-";"40";"-";"-";"-";"-";"-";"37";"24";"-";"-";"96";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4";"-"
"Curral de Cima (PB)";"-";"-";"-";"-";"75";"-";"...";"-";"-";"-";"-";"...";"-";"2";"-";"54";"-";"-";"-";"12";"-";"35";"18";"-";"114";"49";"27";"-";"-";"-";"-";"-";"2";"-";"-";"-";"2";"-"
"Curral Velho (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"40";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Damião (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Desterro (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"1";"-";"-";"-";"-";"-";"12";"-";"-";"-";"-";"-";"35";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Vista Serrana (PB)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Diamante (PB)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Dona Inês (PB)";"-";"-";"-";"-";"112";"-";"...";"-";"-";"-";"-";"...";"-";"2";"-";"16";"-";"-";"-";"-";"-";"-";"-";"-";"-";"35";"45";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-"
"Duas Estradas (PB)";"-";"-";"-";"-";"24";"-";"...";"-";"-";"-";"-";"...";"-";"2";"-";"24";"-";"-";"-";"-";"-";"14";"-";"-";"-";"40";"-";"-";"-";"-";"-";"-";"2";"-";"-";"-";"3";"-"
"Emas (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"12";"-";"-";"-";"-";"-";"42";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Esperança (PB)";"-";"-";"-";"-";"220";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"350";"210";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"225";"630";"-";"-";"-"
"Fagundes (PB)";"21";"-";"-";"-";"180";"-";"...";"-";"-";"-";"-";"...";"-";"1";"-";"100";"-";"-";"-";"28";"-";"40";"-";"-";"53";"35";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Frei Martinho (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"28";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Gado Bravo (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Guarabira (PB)";"-";"-";"-";"-";"280";"-";"...";"-";"-";"-";"-";"...";"-";"4";"-";"64";"-";"-";"-";"-";"-";"35";"-";"-";"-";"48";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"7";"-"
"Gurinhém (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"4";"-";"102";"-";"-";"-";"-";"-";"-";"-";"-";"-";"35";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Gurjão (PB)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Ibiara (PB)";"-";"-";"-";"-";"48";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"40";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Imaculada (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"5";"-";"-";"-";"-";"-";"6";"-";"-";"-";"-";"-";"7";"-";"-";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-"
"Ingá (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"120";"-";"-";"-";"-";"-";"-";"-";"-";"-";"35";"160";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itabaiana (PB)";"-";"-";"-";"-";"80";"-";"...";"-";"-";"-";"-";"...";"-";"4";"-";"132";"-";"-";"-";"-";"-";"-";"-";"-";"-";"80";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itaporanga (PB)";"-";"-";"-";"-";"60";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"150";"-";"-";"-";"12";"-";"-";"-";"-";"-";"70";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itapororoca (PB)";"-";"-";"-";"-";"840";"-";"...";"-";"-";"-";"-";"...";"-";"1";"-";"210";"-";"-";"-";"-";"-";"-";"-";"-";"1250";"80";"450";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-"
"Itatuba (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"18";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jacaraú (PB)";"14";"-";"-";"-";"420";"-";"...";"-";"-";"-";"-";"...";"-";"29";"-";"197";"-";"-";"-";"-";"-";"90";"-";"-";"480";"80";"72";"-";"-";"-";"-";"-";"2";"-";"-";"-";"14";"-"
"Jericó (PB)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"João Pessoa (PB)";"-";"-";"-";"-";"72";"-";"...";"-";"-";"-";"-";"...";"-";"1";"-";"700";"-";"-";"-";"-";"-";"-";"-";"-";"-";"48";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Juarez Távora (PB)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Juazeirinho (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Junco do Seridó (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"15";"-";"-";"-";"-";"-";"24";"-";"-";"-";"-";"-";"35";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Juripiranga (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"30";"-";"-";"-";"-";"-";"-";"-";"-";"-";"26";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Juru (PB)";"-";"-";"-";"-";"56";"-";"...";"-";"-";"-";"-";"...";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"40";"16";"200";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lagoa (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lagoa de Dentro (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"3";"-";"80";"-";"-";"-";"-";"-";"28";"-";"-";"-";"80";"45";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"-"
"Lagoa Seca (PB)";"64";"-";"-";"-";"3000";"-";"...";"-";"-";"-";"-";"...";"-";"8";"-";"-";"-";"-";"-";"28";"-";"360";"210";"-";"200";"200";"300";"-";"-";"-";"-";"-";"-";"-";"1920";"-";"-";"-"
"Lastro (PB)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Livramento (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"2";"-";"12";"-";"-";"-";"24";"-";"-";"-";"-";"-";"28";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Logradouro (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"1";"-";"40";"-";"-";"-";"-";"-";"-";"-";"-";"-";"24";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lucena (PB)";"24";"-";"-";"-";"168";"-";"...";"-";"-";"-";"-";"...";"-";"4";"-";"21422";"-";"-";"-";"10";"-";"21";"24";"-";"60";"80";"60";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Mãe d'Água (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"2";"-";"14";"-";"-";"-";"-";"-";"-";"-";"-";"-";"28";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Malta (PB)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Mamanguape (PB)";"-";"-";"-";"-";"3650";"-";"...";"-";"-";"-";"-";"...";"-";"3";"-";"6480";"-";"-";"-";"200";"-";"40";"250";"-";"7600";"150";"240";"-";"-";"-";"-";"-";"2";"-";"-";"-";"5";"-"
"Manaíra (PB)";"-";"-";"-";"-";"84";"-";"...";"-";"-";"-";"-";"...";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"120";"42";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Marcação (PB)";"-";"-";"-";"-";"105";"-";"...";"-";"-";"-";"-";"...";"-";"4";"-";"460";"-";"-";"-";"-";"-";"21";"-";"-";"680";"30";"169";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-"
"Mari (PB)";"-";"-";"-";"-";"30";"-";"...";"-";"-";"-";"-";"...";"-";"3";"-";"105";"-";"-";"-";"-";"-";"12";"49";"-";"-";"48";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4";"-"
"Marizópolis (PB)";"-";"-";"-";"-";"720";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"800";"-";"-";"-";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Massaranduba (PB)";"18";"-";"-";"-";"180";"-";"...";"-";"-";"-";"-";"...";"-";"8";"-";"7";"-";"-";"-";"12";"-";"119";"-";"-";"-";"48";"-";"-";"-";"-";"-";"-";"-";"-";"105";"-";"2";"-"
"Mataraca (PB)";"14";"-";"-";"-";"180";"-";"...";"-";"-";"-";"-";"...";"-";"2";"-";"1610";"-";"-";"-";"-";"-";"21";"12";"-";"105";"35";"36";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"-"
"Matinhas (PB)";"56";"-";"-";"-";"2256";"-";"...";"-";"-";"-";"-";"...";"-";"8";"-";"24";"-";"-";"-";"18";"-";"330";"77";"-";"100";"35";"50";"-";"-";"-";"-";"-";"-";"-";"7040";"-";"-";"-"
"Mato Grosso (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Maturéia (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Mogeiro (PB)";"-";"-";"-";"-";"24";"-";"...";"-";"-";"-";"-";"...";"-";"1";"-";"18";"-";"-";"-";"-";"-";"-";"-";"-";"-";"35";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Montadas (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Monte Horebe (PB)";"-";"-";"-";"-";"36";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"12";"-";"-";"-";"-";"-";"-";"48";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Monteiro (PB)";"-";"-";"-";"-";"70";"-";"...";"-";"-";"-";"-";"...";"-";"1";"-";"150";"-";"-";"-";"30";"-";"-";"12";"-";"220";"42";"72";"-";"-";"-";"-";"-";"-";"9";"-";"-";"-";"-"
"Mulungu (PB)";"-";"-";"-";"-";"48";"-";"...";"-";"-";"-";"-";"...";"-";"1";"-";"120";"-";"-";"-";"-";"-";"24";"-";"-";"-";"80";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"-"
"Natuba (PB)";"40";"-";"-";"-";"8680";"-";"...";"-";"-";"-";"-";"...";"-";"1";"-";"60";"-";"-";"-";"416";"-";"28";"-";"-";"-";"28";"9";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1400"
"Nazarezinho (PB)";"-";"-";"-";"-";"324";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"48";"-";"-";"-";"24";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Nova Floresta (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"5";"-";"-";"-";"-";"-";"60";"-";"-";"60";"-";"-";"-";"620";"-";"-";"-";"-";"-";"-";"30";"-";"-";"-";"-"
"Nova Olinda (PB)";"-";"-";"-";"-";"140";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"16";"-";"-";"-";"-";"-";"-";"-";"-";"-";"18";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Nova Palmeira (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"11";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Olho d'Água (PB)";"-";"-";"-";"-";"60";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"56";"-";"-";"-";"-";"-";"-";"-";"-";"-";"14";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Olivedos (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"90";"-";"-";"-";"-"
"Ouro Velho (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"8";"-";"-";"-";"12";"-";"-";"-";"-";"-";"12";"22";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Parari (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"6";"-";"-";"-";"-";"-";"24";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Passagem (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Patos (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"70";"-";"-";"-";"24";"-";"-";"-";"-";"264";"35";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Paulista (PB)";"-";"-";"-";"-";"180";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"120";"-";"-";"-";"18";"-";"-";"-";"-";"-";"30";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pedra Branca (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"32";"-";"-";"-";"-";"-";"-";"-";"-";"-";"21";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pedra Lavrada (PB)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Pedras de Fogo (PB)";"-";"-";"-";"-";"48";"-";"...";"-";"-";"-";"-";"...";"-";"2";"-";"320";"-";"-";"-";"18";"-";"21";"-";"-";"6840";"36";"600";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Piancó (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"40";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Picuí (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"30";"-";"-";"-";"-";"-";"30";"-";"-";"-";"-";"-";"35";"525";"-";"-";"-";"-";"-";"-";"15";"-";"-";"-";"-"
"Pilar (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"3";"-";"80";"-";"-";"-";"48";"-";"-";"-";"-";"-";"110";"16";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pilões (PB)";"70";"-";"-";"-";"23100";"-";"...";"-";"-";"-";"-";"...";"-";"15";"-";"200";"-";"-";"-";"-";"-";"105";"-";"-";"-";"200";"80";"-";"-";"-";"-";"-";"-";"-";"35";"-";"9";"-"
"Pilõezinhos (PB)";"16";"-";"-";"-";"4060";"-";"...";"-";"-";"-";"-";"...";"-";"6";"-";"30";"-";"-";"-";"-";"-";"35";"12";"-";"-";"140";"-";"-";"-";"-";"-";"-";"2";"-";"-";"-";"63";"-"
"Pirpirituba (PB)";"-";"-";"-";"-";"560";"-";"...";"-";"-";"-";"-";"...";"-";"6";"-";"96";"-";"-";"-";"14";"-";"56";"-";"-";"-";"70";"45";"-";"-";"-";"-";"-";"2";"-";"-";"-";"7";"-"
"Pitimbu (PB)";"42";"-";"-";"-";"1540";"-";"...";"-";"-";"-";"-";"...";"-";"1";"-";"10600";"-";"-";"-";"-";"-";"-";"180";"-";"4000";"126";"425";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pocinhos (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2700";"-";"-";"-";"-"
"Poço Dantas (PB)";"-";"-";"-";"-";"126";"-";"...";"-";"-";"-";"-";"...";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Poço de José de Moura (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"150";"-";"-";"-";"12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pombal (PB)";"-";"-";"-";"-";"540";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"60";"-";"-";"-";"-";"-";"-";"-";"-";"-";"60";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Prata (PB)";"-";"-";"-";"-";"72";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"120";"-";"-";"-";"70";"-";"-";"-";"-";"-";"21";"11";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Princesa Isabel (PB)";"-";"-";"-";"-";"80";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"24";"-";"-";"-";"-";"50";"28";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Puxinanã (PB)";"14";"-";"-";"-";"48";"-";"...";"-";"-";"-";"-";"...";"-";"4";"-";"-";"-";"-";"-";"56";"-";"36";"-";"-";"-";"14";"80";"-";"-";"-";"-";"-";"-";"-";"16";"-";"-";"-"
"Queimadas (PB)";"-";"-";"-";"-";"65";"-";"...";"-";"-";"-";"-";"...";"-";"1";"-";"68";"-";"-";"-";"35";"-";"-";"-";"-";"88";"60";"50";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Quixaba (PB)";"-";"-";"-";"-";"14";"-";"...";"-";"-";"-";"-";"...";"-";"1";"-";"8";"-";"-";"-";"6";"-";"-";"-";"-";"44";"7";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Remígio (PB)";"-";"-";"-";"-";"960";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"320";"-";"-";"-";"60";"-";"-";"-";"-";"-";"-";"-";"10";"-";"-";"-";"-"
"Pedro Régis (PB)";"-";"-";"-";"-";"420";"-";"...";"-";"-";"-";"-";"...";"-";"14";"-";"165";"-";"-";"-";"-";"-";"40";"-";"-";"90";"80";"-";"-";"-";"-";"-";"-";"7";"-";"-";"-";"11";"-"
"Riachão (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"36";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Riachão do Bacamarte (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"30";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Riachão do Poço (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"4";"-";"90";"-";"-";"-";"-";"-";"15";"-";"-";"-";"48";"14";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Riacho de Santo Antônio (PB)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Riacho dos Cavalos (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"36";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Rio Tinto (PB)";"-";"-";"-";"-";"238";"-";"...";"-";"-";"-";"-";"...";"-";"1";"-";"520";"-";"-";"-";"-";"-";"14";"-";"-";"240";"32";"80";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"-"
"Salgadinho (PB)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
