"Tabela 1613 - Área destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras permanentes"
"Variável - Área destinada à colheita (Hectares)"
"Município";"Ano x Produto das lavouras permanentes"
"Município";"2024"
"Município";"Abacate";"Algodão arbóreo (em caroço)";"Açaí";"Azeitona";"Banana (cacho)";"Borracha (látex coagulado)";"Borracha (látex líquido)";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Caqui";"Castanha de caju";"Chá-da-índia (folha verde)";"Coco-da-baía*";"Dendê (cacho de coco)";"Erva-mate (folha verde)";"Figo";"Goiaba";"Guaraná (semente)";"Laranja";"Limão";"Maçã";"Mamão";"Manga";"Maracujá";"Marmelo";"Noz (fruto seco)";"Palmito";"Pera";"Pêssego";"Pimenta-do-reino";"Sisal ou agave (fibra)";"Tangerina";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"São Vicente Férrer (PE)";"-";"-";"-";"-";"6000";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"250";"-";"-";"-";"-";"-";"-";"20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"505"
"Serra Talhada (PE)";"-";"-";"-";"-";"17";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"32";"-";"-";"-";"-";"10";"10";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Serrita (PE)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"15";"-";"-";"-";"-";"2";"2";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Sertânia (PE)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Sirinhaém (PE)";"-";"-";"-";"-";"170";"150";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Moreilândia (PE)";"-";"-";"-";"-";"2";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Solidão (PE)";"-";"-";"-";"-";"9";"-";"...";"-";"-";"-";"-";"...";"-";"7";"-";"8";"-";"-";"-";"8";"-";"-";"-";"-";"2";"12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Surubim (PE)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Tabira (PE)";"-";"-";"-";"-";"13";"-";"...";"-";"-";"-";"-";"...";"-";"6";"-";"13";"-";"-";"-";"12";"-";"-";"-";"-";"-";"5";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Tacaimbó (PE)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"25";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Tacaratu (PE)";"-";"-";"-";"-";"30";"-";"...";"-";"-";"-";"-";"...";"-";"85";"-";"250";"-";"-";"-";"5";"-";"2";"10";"-";"10";"10";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Tamandaré (PE)";"-";"-";"-";"-";"18";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"200";"-";"-";"-";"-";"-";"-";"-";"-";"-";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Taquaritinga do Norte (PE)";"5";"-";"-";"-";"200";"-";"...";"-";"700";"700";"-";"...";"-";"200";"-";"-";"-";"-";"-";"-";"-";"25";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Terezinha (PE)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Terra Nova (PE)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Timbaúba (PE)";"-";"-";"-";"-";"660";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"2";"-";"-";"-";"3";"-";"-";"-";"-";"2";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Toritama (PE)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Tracunhaém (PE)";"-";"-";"-";"-";"10";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"10";"-";"-";"20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Trindade (PE)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Triunfo (PE)";"2";"-";"-";"-";"370";"-";"...";"-";"90";"90";"-";"...";"-";"-";"-";"-";"-";"-";"-";"2";"-";"3";"1";"-";"-";"2";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Tupanatinga (PE)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"120";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Tuparetama (PE)";"-";"-";"-";"-";"7";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"6";"-";"-";"-";"5";"-";"1";"3";"-";"-";"4";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Venturosa (PE)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Verdejante (PE)";"-";"-";"-";"-";"3";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"12";"-";"-";"-";"-";"-";"6";"9";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Vertente do Lério (PE)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Vertentes (PE)";"-";"-";"-";"-";"-";"-";"...";"-";"60";"60";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Vicência (PE)";"5";"-";"-";"-";"9000";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"25";"-";"-";"-";"12";"-";"-";"10";"-";"-";"2";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Vitória de Santo Antão (PE)";"-";"-";"-";"-";"400";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"50";"-";"-";"-";"110";"-";"-";"250";"-";"-";"30";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Xexéu (PE)";"-";"-";"-";"-";"44";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"15";"-";"-";"-";"-";"-";"14";"8";"-";"-";"-";"19";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Água Branca (AL)";"2";"-";"-";"-";"20";"-";"...";"-";"-";"-";"-";"...";"-";"6";"-";"15";"-";"-";"-";"2";"-";"10";"-";"-";"3";"3";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Anadia (AL)";"10";"-";"-";"-";"17";"-";"...";"-";"-";"-";"-";"...";"-";"10";"-";"34";"-";"-";"-";"4";"-";"8";"1";"-";"18";"8";"38";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-"
"Arapiraca (AL)";"-";"-";"-";"-";"10";"-";"...";"-";"-";"-";"-";"...";"-";"2";"-";"5";"-";"-";"-";"8";"-";"5";"18";"-";"2";"5";"5";"-";"-";"-";"-";"-";"15";"-";"-";"-";"-";"-"
"Atalaia (AL)";"-";"-";"10";"-";"120";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"5";"-";"-";"-";"5";"-";"9";"3";"-";"14";"5";"20";"-";"-";"-";"-";"-";"10";"-";"7";"-";"-";"-"
"Barra de Santo Antônio (AL)";"-";"-";"-";"-";"2";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"450";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Barra de São Miguel (AL)";"-";"-";"-";"-";"2";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"90";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Belém (AL)";"-";"-";"-";"-";"30";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"10";"-";"-";"-";"2";"-";"7";"-";"-";"2";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Belo Monte (AL)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Boca da Mata (AL)";"10";"-";"16";"-";"230";"-";"...";"-";"-";"-";"-";"...";"-";"12";"-";"97";"-";"-";"-";"1";"-";"25";"20";"-";"22";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Branquinha (AL)";"5";"-";"-";"-";"140";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"60";"-";"-";"-";"5";"-";"1800";"15";"-";"2";"30";"35";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cacimbinhas (AL)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"10";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cajueiro (AL)";"-";"-";"-";"-";"80";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"5";"-";"-";"-";"2";"-";"20";"15";"-";"-";"5";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Campestre (AL)";"-";"-";"-";"-";"100";"-";"...";"-";"-";"-";"-";"...";"-";"3";"-";"20";"-";"-";"-";"-";"-";"5";"-";"-";"-";"10";"14";"-";"-";"-";"-";"-";"12";"-";"-";"-";"-";"-"
"Campo Alegre (AL)";"5";"-";"-";"-";"154";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"32";"-";"-";"-";"6";"-";"5";"2";"-";"60";"11";"9";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-"
"Campo Grande (AL)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"1";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Canapi (AL)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"2";"-";"1";"-";"-";"-";"2";"-";"-";"-";"-";"1";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Capela (AL)";"-";"-";"-";"-";"70";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"10";"-";"-";"-";"5";"-";"10";"-";"-";"-";"10";"40";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Carneiros (AL)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"15";"-";"5";"-";"-";"-";"2";"-";"-";"2";"-";"1";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Chã Preta (AL)";"2";"-";"-";"-";"60";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"2";"-";"-";"-";"3";"-";"50";"3";"-";"-";"12";"9";"-";"-";"-";"-";"-";"-";"-";"25";"-";"-";"-"
"Coité do Nóia (AL)";"-";"-";"-";"-";"6";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"10";"-";"-";"-";"-";"-";"3";"-";"-";"2";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Colônia Leopoldina (AL)";"-";"-";"-";"-";"840";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"9";"-";"-";"-";"3";"-";"10";"5";"-";"8";"20";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Coqueiro Seco (AL)";"-";"-";"-";"-";"3";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"220";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Coruripe (AL)";"5";"-";"-";"-";"105";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"3590";"-";"-";"-";"8";"-";"2";"10";"-";"100";"10";"120";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Craíbas (AL)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Delmiro Gouveia (AL)";"-";"-";"-";"-";"15";"-";"...";"-";"-";"-";"-";"...";"-";"2";"-";"10";"-";"-";"-";"2";"-";"-";"2";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Dois Riachos (AL)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Estrela de Alagoas (AL)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"34";"-";"-";"-";"-";"-";"1";"-";"4";"-";"-";"-";"14";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Feira Grande (AL)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"15";"-";"-";"-";"-";"-";"-";"-";"-";"5";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Feliz Deserto (AL)";"-";"-";"-";"-";"7";"-";"...";"-";"-";"-";"-";"...";"-";"1";"-";"1306";"-";"-";"-";"-";"-";"-";"2";"-";"4";"4";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Flexeiras (AL)";"5";"-";"-";"-";"120";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"43";"-";"-";"-";"20";"-";"80";"50";"-";"-";"30";"30";"-";"-";"-";"-";"-";"-";"-";"5";"-";"-";"-"
"Girau do Ponciano (AL)";"-";"-";"-";"-";"3";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"8";"-";"-";"-";"-";"-";"-";"7";"-";"-";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ibateguara (AL)";"-";"-";"-";"-";"370";"-";"...";"-";"-";"-";"-";"...";"-";"3";"-";"8";"-";"-";"-";"4";"-";"7";"2";"-";"3";"12";"9";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Igaci (AL)";"-";"-";"-";"-";"3";"-";"...";"-";"-";"-";"-";"...";"-";"40";"-";"8";"-";"-";"-";"-";"-";"5";"-";"-";"-";"30";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Igreja Nova (AL)";"-";"-";"-";"-";"62";"-";"...";"-";"-";"-";"-";"...";"-";"6";"-";"40";"-";"-";"-";"-";"-";"20";"2";"-";"6";"15";"12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Inhapi (AL)";"-";"-";"-";"-";"4";"-";"...";"-";"-";"-";"-";"...";"-";"4";"-";"1";"-";"-";"-";"2";"-";"2";"1";"-";"2";"2";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jacaré dos Homens (AL)";"-";"-";"-";"-";"1";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jacuípe (AL)";"-";"-";"-";"-";"130";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"103";"-";"-";"-";"5";"-";"80";"14";"-";"5";"10";"12";"-";"-";"-";"-";"-";"7";"-";"6";"-";"-";"-"
"Japaratinga (AL)";"-";"-";"8";"-";"120";"-";"...";"-";"-";"-";"-";"...";"-";"20";"-";"650";"-";"-";"-";"8";"-";"9";"10";"-";"9";"30";"17";"-";"-";"-";"-";"-";"10";"-";"-";"-";"-";"-"
"Jaramataia (AL)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jequiá da Praia (AL)";"-";"-";"-";"-";"6";"-";"...";"-";"-";"-";"-";"...";"-";"5";"-";"1440";"-";"-";"-";"1";"-";"3";"2";"-";"10";"10";"12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Joaquim Gomes (AL)";"20";"-";"-";"-";"880";"-";"...";"-";"-";"-";"-";"...";"-";"24";"-";"45";"-";"-";"-";"7";"-";"670";"25";"-";"3";"50";"25";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jundiá (AL)";"-";"-";"-";"-";"26";"-";"...";"-";"2";"-";"2";"...";"-";"-";"-";"16";"-";"-";"-";"-";"-";"7";"1";"-";"-";"4";"6";"-";"-";"-";"-";"-";"15";"-";"-";"-";"-";"-"
"Junqueiro (AL)";"1";"-";"-";"-";"32";"-";"...";"-";"-";"-";"-";"...";"-";"8";"-";"110";"-";"-";"-";"5";"-";"12";"3";"-";"18";"10";"17";"-";"-";"-";"-";"-";"4";"-";"-";"-";"-";"-"
"Lagoa da Canoa (AL)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Limoeiro de Anadia (AL)";"-";"-";"-";"-";"50";"-";"...";"-";"-";"-";"-";"...";"-";"6";"-";"70";"-";"-";"-";"15";"-";"50";"20";"-";"20";"5";"14";"-";"-";"-";"-";"-";"10";"-";"-";"-";"-";"-"
"Maceió (AL)";"-";"-";"-";"-";"4";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"450";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Major Isidoro (AL)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"5";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Maragogi (AL)";"8";"-";"25";"-";"350";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"800";"-";"-";"-";"10";"-";"50";"27";"-";"15";"70";"75";"-";"-";"-";"-";"-";"2";"-";"5";"-";"-";"-"
"Maravilha (AL)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-";"1";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Marechal Deodoro (AL)";"-";"-";"-";"-";"10";"-";"...";"-";"-";"-";"-";"...";"-";"2";"-";"310";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"11";"-";"-";"-";"-";"-";"4";"-";"-";"-";"-";"-"
"Maribondo (AL)";"-";"-";"-";"-";"40";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"10";"-";"-";"-";"10";"-";"25";"6";"-";"3";"20";"20";"-";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-"
"Mar Vermelho (AL)";"-";"-";"-";"-";"14";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5";"-";"-";"-";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Mata Grande (AL)";"-";"-";"-";"-";"73";"-";"...";"-";"-";"-";"-";"...";"-";"8";"-";"-";"-";"-";"-";"5";"-";"10";"-";"-";"14";"7";"20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Matriz de Camaragibe (AL)";"8";"-";"-";"-";"50";"-";"...";"3";"-";"-";"-";"...";"-";"-";"-";"105";"-";"-";"-";"10";"-";"25";"3";"-";"4";"60";"34";"-";"-";"-";"-";"-";"3";"-";"8";"-";"-";"-"
"Messias (AL)";"-";"-";"-";"-";"25";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"10";"-";"-";"-";"-";"-";"32";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Minador do Negrão (AL)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"5";"-";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Monteirópolis (AL)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"30";"-";"-";"-";"-";"-";"1";"-";"1";"1";"-";"1";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Murici (AL)";"3";"-";"-";"-";"400";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"110";"-";"-";"-";"25";"-";"350";"15";"-";"40";"25";"90";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Novo Lino (AL)";"1";"-";"-";"-";"250";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"50";"-";"-";"-";"-";"-";"80";"5";"-";"2";"30";"20";"-";"-";"-";"-";"-";"30";"-";"1";"-";"-";"-"
"Olho d'Água das Flores (AL)";"-";"-";"-";"-";"1";"-";"...";"-";"-";"-";"-";"...";"-";"50";"-";"4";"-";"-";"-";"2";"-";"5";"1";"-";"1";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Olho d'Água do Casado (AL)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"25";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Olho d'Água Grande (AL)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"3";"-";"1";"-";"-";"-";"-";"-";"1";"-";"-";"-";"8";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Olivença (AL)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"50";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ouro Branco (AL)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Palestina (AL)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Palmeira dos Índios (AL)";"1";"-";"-";"-";"250";"-";"...";"-";"-";"-";"-";"...";"-";"40";"-";"3";"-";"-";"-";"12";"-";"20";"2";"-";"3";"35";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pão de Açúcar (AL)";"-";"-";"-";"-";"5";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-";"2";"-";"2";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pariconha (AL)";"-";"-";"-";"-";"7";"-";"...";"-";"-";"-";"-";"...";"-";"15";"-";"18";"-";"-";"-";"4";"-";"6";"-";"-";"2";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Paripueira (AL)";"-";"-";"1";"-";"4";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"277";"-";"-";"-";"-";"-";"4";"4";"-";"-";"6";"-";"-";"-";"-";"-";"-";"11";"-";"-";"-";"-";"-"
"Passo de Camaragibe (AL)";"-";"-";"-";"-";"30";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"651";"-";"-";"-";"-";"-";"8";"4";"-";"-";"12";"6";"-";"-";"-";"-";"-";"14";"-";"-";"-";"-";"-"
"Paulo Jacinto (AL)";"-";"-";"-";"-";"15";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Penedo (AL)";"3";"-";"-";"-";"75";"-";"...";"-";"-";"-";"-";"...";"-";"20";"-";"140";"-";"-";"-";"2";"-";"6";"7";"-";"15";"60";"65";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Piaçabuçu (AL)";"-";"-";"-";"-";"35";"-";"...";"-";"-";"-";"-";"...";"-";"10";"-";"2095";"-";"-";"-";"-";"-";"-";"-";"-";"-";"50";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pilar (AL)";"-";"-";"8";"-";"7";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"80";"-";"-";"-";"-";"-";"-";"-";"-";"1";"4";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pindoba (AL)";"-";"-";"-";"-";"12";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Piranhas (AL)";"-";"-";"-";"-";"8";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"1";"-";"-";"-";"1";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Poço das Trincheiras (AL)";"-";"-";"-";"-";"2";"-";"...";"-";"-";"-";"-";"...";"-";"4";"-";"-";"-";"-";"-";"1";"-";"3";"1";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
