"Tabela 1613 - Área destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras permanentes"
"Variável - Valor da produção (Mil Reais)"
"Município";"Ano x Produto das lavouras permanentes"
"Município";"2024"
"Município";"Abacate";"Algodão arbóreo (em caroço)";"Açaí";"Azeitona";"Banana (cacho)";"Borracha (látex coagulado)";"Borracha (látex líquido)";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Caqui";"Castanha de caju";"Chá-da-índia (folha verde)";"Coco-da-baía*";"Dendê (cacho de coco)";"Erva-mate (folha verde)";"Figo";"Goiaba";"Guaraná (semente)";"Laranja";"Limão";"Maçã";"Mamão";"Manga";"Maracujá";"Marmelo";"Noz (fruto seco)";"Palmito";"Pera";"Pêssego";"Pimenta-do-reino";"Sisal ou agave (fibra)";"Tangerina";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"Santa Luzia D'Oeste (RO)";"-";"-";"-";"-";"2517";"-";"...";"365";"41685";"-";"41685";"...";"-";"-";"-";"37";"-";"-";"-";"54";"-";"65";"22";"-";"40";"-";"159";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Vilhena (RO)";"-";"-";"-";"-";"433";"-";"...";"145";"1757";"-";"1757";"...";"-";"-";"-";"25";"-";"-";"-";"50";"-";"205";"68";"-";"106";"-";"49";"-";"-";"-";"-";"-";"-";"-";"24";"-";"20";"-"
"São Miguel do Guaporé (RO)";"-";"-";"102";"-";"933";"-";"...";"1065";"281646";"-";"281646";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"46";"214";"-";"36";"-";"175";"-";"-";"-";"-";"-";"72";"-";"-";"-";"59";"-"
"Nova Mamoré (RO)";"231";"-";"74";"-";"6469";"-";"...";"363";"12208";"-";"12208";"...";"-";"-";"-";"32";"-";"-";"-";"514";"-";"157";"192";"-";"277";"106";"82";"-";"-";"-";"-";"-";"-";"-";"48";"-";"12";"-"
"Alvorada D'Oeste (RO)";"-";"-";"-";"-";"280";"-";"...";"444";"97658";"-";"97658";"...";"-";"-";"-";"-";"-";"-";"-";"86";"-";"69";"34";"-";"-";"-";"62";"-";"-";"-";"-";"-";"29";"-";"-";"-";"35";"-"
"Alto Alegre dos Parecis (RO)";"-";"-";"-";"-";"1960";"-";"...";"211";"260929";"-";"260929";"...";"-";"-";"-";"37";"-";"-";"-";"238";"-";"20";"181";"-";"100";"-";"179";"-";"-";"-";"-";"-";"237";"-";"-";"-";"13";"-"
"Alto Paraíso (RO)";"-";"-";"168";"-";"11449";"-";"...";"81";"14851";"-";"14851";"...";"-";"-";"-";"59";"-";"-";"-";"110";"298";"122";"147";"-";"397";"-";"134";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Buritis (RO)";"-";"-";"1536";"-";"39821";"-";"...";"30274";"170605";"-";"170605";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"276";"149";"-";"264";"-";"301";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Novo Horizonte do Oeste (RO)";"-";"-";"198";"-";"1180";"-";"...";"116";"101397";"-";"101397";"...";"-";"-";"-";"-";"-";"-";"-";"-";"40";"-";"-";"-";"-";"-";"768";"-";"-";"-";"-";"-";"15";"-";"28";"-";"14";"-"
"Cacaulândia (RO)";"-";"-";"278";"-";"2254";"-";"...";"12457";"909";"-";"909";"...";"-";"-";"-";"204";"-";"-";"-";"-";"-";"204";"84";"-";"103";"-";"78";"-";"-";"-";"-";"-";"-";"-";"-";"-";"39";"-"
"Campo Novo de Rondônia (RO)";"-";"-";"134";"-";"10253";"-";"...";"13616";"14062";"-";"14062";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"135";"-";"-";"48";"-";"93";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Candeias do Jamari (RO)";"-";"-";"858";"-";"8693";"-";"...";"1477";"16974";"-";"16974";"...";"-";"-";"-";"141";"-";"-";"-";"-";"298";"127";"867";"-";"257";"-";"437";"-";"-";"-";"-";"-";"-";"-";"-";"-";"33";"-"
"Castanheiras (RO)";"-";"-";"-";"-";"987";"-";"...";"50";"5839";"-";"5839";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"54";"-";"61";"-";"524";"-";"-";"-";"-";"-";"24";"-";"-";"-";"46";"-"
"Chupinguaia (RO)";"-";"-";"-";"-";"437";"-";"...";"48";"1711";"-";"1711";"...";"-";"-";"-";"20";"-";"-";"-";"-";"-";"77";"110";"-";"94";"-";"315";"-";"-";"-";"-";"-";"-";"-";"32";"-";"390";"-"
"Cujubim (RO)";"-";"-";"134";"-";"2577";"-";"...";"886";"14537";"-";"14537";"...";"-";"-";"-";"-";"-";"-";"-";"-";"154";"270";"30";"-";"56";"-";"72";"-";"-";"-";"-";"-";"-";"-";"32";"-";"527";"-"
"Governador Jorge Teixeira (RO)";"-";"-";"-";"-";"7972";"-";"...";"34932";"16313";"-";"16313";"...";"-";"-";"-";"36";"-";"-";"-";"62";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itapuã do Oeste (RO)";"-";"-";"493";"-";"553";"-";"...";"408";"2318";"-";"2318";"...";"-";"-";"-";"152";"-";"-";"-";"-";"37";"257";"151";"-";"-";"-";"229";"-";"-";"810";"-";"-";"-";"-";"-";"-";"15";"-"
"Ministro Andreazza (RO)";"-";"-";"-";"-";"3751";"-";"...";"415";"87915";"-";"87915";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"156";"95";"-";"1050";"-";"159";"-";"-";"-";"-";"-";"-";"-";"595";"-";"-";"-"
"Mirante da Serra (RO)";"-";"-";"51";"-";"613";"-";"...";"5502";"34925";"-";"34925";"...";"-";"-";"-";"36";"-";"-";"-";"-";"-";"42";"63";"-";"90";"-";"88";"-";"-";"-";"-";"-";"48";"-";"-";"-";"-";"-"
"Monte Negro (RO)";"-";"-";"-";"-";"18313";"-";"...";"12660";"11871";"-";"11871";"...";"-";"-";"-";"111";"-";"-";"-";"-";"-";"191";"117";"-";"216";"-";"294";"-";"-";"-";"-";"-";"-";"-";"54";"-";"-";"-"
"Nova União (RO)";"-";"-";"273";"-";"1487";"-";"...";"6011";"6355";"-";"6355";"...";"-";"-";"-";"-";"-";"-";"-";"110";"-";"-";"-";"-";"-";"30";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Parecis (RO)";"-";"-";"-";"-";"664";"-";"...";"53";"25700";"-";"25700";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"44";"-";"-";"48";"-";"218";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pimenteiras do Oeste (RO)";"-";"-";"-";"-";"140";"-";"...";"102";"748";"-";"748";"...";"-";"-";"-";"48";"-";"-";"-";"-";"-";"26";"22";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"30";"-";"8";"-"
"Primavera de Rondônia (RO)";"-";"-";"76";"-";"425";"-";"...";"50";"9966";"-";"9966";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"105";"41";"-";"72";"-";"-";"-";"-";"-";"-";"-";"43";"-";"26";"-";"-";"-"
"São Felipe D'Oeste (RO)";"-";"-";"-";"-";"3987";"-";"...";"2008";"13150";"-";"13150";"...";"-";"-";"-";"-";"-";"-";"-";"130";"-";"192";"-";"-";"158";"-";"105";"-";"-";"-";"-";"-";"56";"-";"46";"-";"329";"-"
"São Francisco do Guaporé (RO)";"-";"-";"21";"-";"1331";"-";"...";"91";"56352";"-";"56352";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"18";"37";"-";"-";"-";"60";"-";"-";"-";"-";"-";"72";"-";"-";"-";"1485";"-"
"Seringueiras (RO)";"-";"-";"-";"-";"688";"-";"...";"668";"88553";"-";"88553";"...";"-";"-";"-";"77";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3788";"-";"-";"-";"-";"-";"72";"-";"-";"-";"774";"-"
"Teixeirópolis (RO)";"-";"-";"-";"-";"165";"-";"...";"5054";"2176";"-";"2176";"...";"-";"-";"-";"80";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"49";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Theobroma (RO)";"-";"-";"-";"-";"4534";"-";"...";"7931";"19261";"-";"19261";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"414";"-";"-";"-";"-";"-";"-";"-";"-";"-";"624";"-"
"Urupá (RO)";"-";"-";"-";"-";"399";"-";"...";"4300";"5987";"-";"5987";"...";"-";"-";"-";"38";"-";"-";"-";"23";"-";"-";"25";"-";"78";"-";"88";"-";"-";"60";"-";"-";"-";"-";"-";"-";"-";"-"
"Vale do Anari (RO)";"-";"-";"-";"-";"469";"-";"...";"1097";"17501";"-";"17501";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"94";"-";"-";"-";"-";"131";"-";"-";"-";"-";"-";"30";"-";"-";"-";"131";"-"
"Vale do Paraíso (RO)";"-";"-";"46";"-";"946";"-";"...";"1624";"6806";"-";"6806";"...";"-";"-";"-";"119";"-";"-";"-";"-";"-";"36";"-";"-";"55";"-";"158";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Acrelândia (AC)";"-";"-";"125";"-";"27720";"20";"...";"-";"26387";"-";"26387";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"851";"585";"-";"-";"-";"279";"-";"-";"-";"-";"-";"-";"-";"-";"-";"180";"-"
"Assis Brasil (AC)";"-";"-";"-";"-";"3577";"10";"...";"-";"972";"-";"972";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"73";"46";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
